trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
50,False,"{'a': 0.85, 'e': 0.006737946999085469}",25,0,36.18073808716875,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.85, 'e': 0.00609674656551564}",25,7,28.7369425182438,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.85, 'e': 0.005516564420760773}",20,10,17.680851494479093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.85, 'e': 0.004991593906910219}",30,17,21.306735781508756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.85, 'e': 0.004516580942612668}",25,0,19.012414548123683,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
55,False,"{'a': 0.85, 'e': 0.004086771438464068}",25,14,15.64234880953422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.85, 'e': 0.0036978637164829333}",25,2,34.570375019477574,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.85, 'e': 0.0033459654574712733}",20,0,25.3974518954989,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.85, 'e': 0.003027554745375816}",20,12,17.38817510696518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.85, 'e': 0.0027394448187683692}",20,2,27.632548854610526,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.85, 'e': 0.0024787521766663594}",20,8,23.451449618431713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.85, 'e': 0.002242867719485804}",25,13,21.08215432029618,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.85, 'e': 0.0020294306362957345}",20,15,6.336260604593118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.85, 'e': 0.0018363047770289078}",25,2,37.519498019264105,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.85, 'e': 0.0016615572731739346}",25,4,32.82568782178405,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.85, 'e': 0.001503439192977573}",25,0,38.29224288338173,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.85, 'e': 0.0013603680375478943}",35,11,45.146531596084664,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.85, 'e': 0.0012309119026734814}",30,18,18.758662585282373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.85, 'e': 0.0011137751478448037}",20,10,15.161337206661758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.85, 'e': 0.0010077854290485107}",25,0,33.56177134460651,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.85, 'e': 0.0009118819655545166}",25,17,12.215957986531238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.85, 'e': 0.0008251049232659048}",20,0,29.086921500217702,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.85, 'e': 0.0007465858083766795}",25,18,10.65194446389245,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.85, 'e': 0.0006755387751938446}",25,2,36.58371015498593,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.85, 'e': 0.0006112527611295725}",20,9,20.036486632920333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.85, 'e': 0.0005530843701478338}",20,4,24.41513342779368,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.85, 'e': 0.000500451433440611}",20,14,9.187309604969029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.85, 'e': 0.00045282718288679717}",25,14,15.666685697780993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.85, 'e': 0.00040973497897978697}",20,9,21.05795328673793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
